directory,model_type,image_input,prefab_enabled,scene,total_steps,execution_time,unit_survival_rate,enemy_elimination_rate,average_decision_quality,resource_efficiency
qwen_20260213_160916_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,True,MMM场景,16,731.642959,0.0,1.0,0.829173456680306,11.0625
qwen_20260213_160916_ability_MMM2,VLM,True,True,MMM2场景,16,1089.203791,0.0,1.0,0.8348784741828219,11.3125
qwen_20260213_160916_vlm_attention_1,VLM,True,False,VLM注意力机制,11,647.637376,0.8,0.875,0.8181249999999999,8.818181818181818
qwen_20260213_172642_vlm_attention_1,VLM,True,False,VLM注意力机制,12,554.958792,0.8,0.875,0.8175,8.583333333333334
qwen_20260213_172646_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,True,MMM场景,16,498.009176,0.0,1.0,0.8314814814814815,11.125
qwen_20260213_172649_ability_MMM2,VLM,True,True,MMM2场景,16,508.431948,0.0,1.0,0.837514273166447,10.9375
qwen_20260213_201016_vlm_attention_1,VLM,True,False,VLM注意力机制,12,629.136787,0.6,0.875,0.924782608695652,8.083333333333334
qwen_20260213_201018_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,True,MMM场景,16,617.926557,0.0,1.0,0.8107912932138284,10.5625
qwen_20260213_201025_ability_MMM2,VLM,True,True,MMM2场景,16,816.72533,0.0,1.0,0.8025234585234584,11.75
qwen_20260214_095929_vlm_attention_1,VLM,True,False,VLM注意力机制,11,494.256895,0.8,0.875,0.8315625,8.818181818181818
qwen_20260214_095942_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,True,MMM场景,16,460.037357,0.0,1.0,0.8469826212434907,10.625
qwen_20260214_095946_ability_MMM2,VLM,True,True,MMM2场景,16,574.007597,0.0,1.0,0.8351815133223585,11.125
