directory,model_type,prefab_enabled,scene,resource_utilization,target_selection_efficiency,unit_deployment_strategy,priority_setting
qwen_20260213_160916_MMM,VLM,True,MMM场景,11.0625,1.0,0.10692595201160442,0.735174603174603
qwen_20260213_160916_MMM2,VLM,True,MMM2场景,11.3125,1.0,0.10253764800289449,0.7378953168044077
qwen_20260213_160916_P5vsT8,VLM,True,P5vsT8,8.818181818181818,0.875,0.12250855415723882,0.7875
qwen_20260213_172642_P5vsT8,VLM,True,P5vsT8,8.583333333333334,0.875,0.130081044196738,0.7536363636363635
qwen_20260213_172646_MMM,VLM,True,MMM场景,11.125,1.0,0.11007274510273944,0.8711245791245791
qwen_20260213_172649_MMM2,VLM,True,MMM2场景,10.9375,1.0,0.11032203811692001,0.7309454545454546
qwen_20260213_201016_P5vsT8,VLM,False,P5vsT8,8.083333333333334,0.875,0.0830772856477382,0.99
qwen_20260213_201018_MMM,VLM,False,MMM场景,10.5625,1.0,0.1084215792177922,0.7728671328671328
qwen_20260213_201025_MMM2,VLM,False,MMM2场景,11.75,1.0,0.11264352716780525,0.7836317460317462
qwen_20260214_095929_P5vsT8,VLM,False,P5vsT8,8.818181818181818,0.875,0.11971719009981831,0.7335
qwen_20260214_095942_MMM,VLM,False,MMM场景,10.625,1.0,0.10577008096123992,0.8065339105339105
qwen_20260214_095946_MMM2,VLM,False,MMM2场景,11.125,1.0,0.10318656957635243,0.7385785123966943
